Plot_Number,Area,Land_Use,Owners,Lat,Lon
866,5823,Katastarska čestica,Vidi posjedovni list,43.830012,16.307095
867/2,1119,Katastarska čestica,Vidi posjedovni list,43.829485,16.30715
867/3,1266,Katastarska čestica,Vidi posjedovni list,43.8294,16.307096
867/1,2122,Katastarska čestica,Vidi posjedovni list,43.829488,16.30766
868/2,2111,Katastarska čestica,Vidi posjedovni list,43.829219,16.306792
868/1,950,Katastarska čestica,Vidi posjedovni list,43.829318,16.307058
869,8427,Katastarska čestica,Vidi posjedovni list,43.830077,16.306333
871,2032,Katastarska čestica,Vidi posjedovni list,43.83022,16.306026
872/1,939,Katastarska čestica,Vidi posjedovni list,43.830291,16.305978
872/2,872,Katastarska čestica,Vidi posjedovni list,43.830063,16.305707
872/3,679,Katastarska čestica,Vidi posjedovni list,43.830326,16.305951
873,2298,Katastarska čestica,Vidi posjedovni list,43.830293,16.305785
874/1,4915,Katastarska čestica,Vidi posjedovni list,43.83034,16.305616
874/2,3665,Katastarska čestica,Vidi posjedovni list,43.830311,16.305358
875/2,3065,Katastarska čestica,Vidi posjedovni list,43.830545,16.305235
875/1,2470,Katastarska čestica,Vidi posjedovni list,43.830449,16.305306
877/2,2746,Katastarska čestica,Vidi posjedovni list,43.830432,16.3049
877/1,1766,Katastarska čestica,Vidi posjedovni list,43.830544,16.305104
878/1,6577,Katastarska čestica,Vidi posjedovni list,43.830468,16.304686
878/2,129,Katastarska čestica,Vidi posjedovni list,43.829641,16.303879
879,2183,Katastarska čestica,Vidi posjedovni list,43.830533,16.304498
880/4,1816,Katastarska čestica,Vidi posjedovni list,43.830737,16.304266
880/2,1741,Katastarska čestica,Vidi posjedovni list,43.830596,16.304337
880/3,1741,Katastarska čestica,Vidi posjedovni list,43.830675,16.304311
880/1,1953,Katastarska čestica,Vidi posjedovni list,43.830533,16.304385
881/2,1723,Katastarska čestica,Vidi posjedovni list,43.830453,16.303773
881/3,1716,Katastarska čestica,Vidi posjedovni list,43.830391,16.303864
882,3255,Katastarska čestica,Vidi posjedovni list,43.830921,16.303998
903,543,Katastarska čestica,Vidi posjedovni list,43.830502,16.308368
904,6697,Katastarska čestica,Vidi posjedovni list,43.831026,16.309121
905/2,152,Katastarska čestica,Vidi posjedovni list,43.830138,16.308778
905/3,2415,Katastarska čestica,Vidi posjedovni list,43.830806,16.309532
905/1,3098,Katastarska čestica,Vidi posjedovni list,43.83088,16.309392
1053/1,838451,Katastarska čestica,Vidi posjedovni list,43.828797,16.306414
1053/3,407,Katastarska čestica,Vidi posjedovni list,43.829113,16.30827
1053/4,627,Katastarska čestica,Vidi posjedovni list,43.829273,16.308152
2086/1,4123952,Katastarska čestica,Vidi posjedovni list,43.841936,16.323695
2910,21950,Katastarska čestica,Vidi posjedovni list,43.832123,16.293092
2923,7657,Katastarska čestica,Vidi posjedovni list,43.832335,16.313259
2924,8449,Katastarska čestica,Vidi posjedovni list,43.829435,16.315185
2931,4589,Katastarska čestica,Vidi posjedovni list,43.830402,16.311054
2932,2708,Katastarska čestica,Vidi posjedovni list,43.830067,16.308758
204/1,1496114,Katastarska čestica,Vidi posjedovni list,43.819056,16.318044
